Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
KGCL-DP-CC-R-4C;0.0494413085298938;0.096733116;0.0208972962266019;0.0609216000151105;0.0556117564387347;0.0582428810772523;0.13699968;0.015131793036121;0.0860229607938239;0.0609375171943261;0.0765246782952582;0.26818433;0.0063096535038696;0.1648862468902543;0.0668563583214401;0.0847242650890104;0.34571797;0.00424114659234;0.2119775188673314;0.0679595237267403
SpectralClustering-DP-R;0.0494348630429989;0.09671897;0.0208944665317845;0.0608845320224957;0.0556791974985497;0.0582086819034875;0.1368299;0.0151148148672165;0.085902863645777;0.060986239598345;0.0764123480978304;0.26746276;0.0062946561213373;0.1644066935225308;0.0668846070965383;0.084583710578626;0.34477;0.0042311011757381;0.2113244268322811;0.0679847043959059
KGCL-DP-CC-R-3C;0.0494302454765055;0.096733116;0.0209029556162367;0.0609119198386952;0.0556313284945551;0.058211827529614;0.13690063;0.0151275484938949;0.085954845406121;0.0609453830721817;0.0764325635693015;0.26773158;0.0063042770837165;0.1645454006864962;0.0668518950032579;0.0846275659897073;0.34516618;0.0042391658059678;0.2116080361834049;0.0679535526776539
LightGCN-DP-CC-R-5C;0.0494278369013557;0.09671897;0.0208944665317845;0.0608958649119576;0.0556110490150303;0.0582269209122405;0.13697138;0.0151303781887123;0.0859779440384616;0.0609361472627081;0.0765004265362562;0.2681419;0.0063147469545409;0.1647585646684834;0.0668605157108897;0.0847051386567413;0.3457038;0.0042470889514565;0.2118697526164037;0.0679637392828813
AdaGCL-DP-CC-R-2C;0.0494231243791247;0.09670482;0.0208916368369671;0.0609029479678712;0.0556093983597202;0.0582592307312737;0.13714115;0.0151459415102081;0.0860929425105453;0.0609603624883976;0.0765699497044425;0.26886344;0.0063291783981097;0.1650234914317913;0.0669065736906843;0.0847988046190571;0.34676495;0.004259681093394;0.2122515585366528;0.0680149868647598
LightGCN-DP-CC-R-4C;0.0494229610268774;0.09676141;0.0209029556162367;0.0608991703380506;0.0556405250027117;0.0582196628723785;0.13697138;0.0151289633413036;0.0859852631962391;0.0609603175726069;0.0764799320070027;0.268057;0.0063107853817965;0.164748044026827;0.066874756988725;0.0846699042653534;0.34554818;0.0042431273787122;0.2117715970992169;0.0679770944436113
KGCL-DP-CC-R-5C;0.0494189254205434;0.09666237;0.0208831477525148;0.0608887818560439;0.0556006734673665;0.0581955289630615;0.1368016;0.0151119851723991;0.0859167936557405;0.0609102476948654;0.076420352702939;0.26751935;0.0062989006635634;0.1645113032301893;0.066812454278125;0.084598039272652;0.34479833;0.004234496809519;0.2114753204872249;0.0679119983822263
KGCL-DP-CC-R-2C;0.0494172390967986;0.09666237;0.0208831477525148;0.0608788655777648;0.0555952498856331;0.0581890242723896;0.13675915;0.015107740630173;0.0858895632407836;0.0608993443866602;0.0764102188910899;0.26754764;0.0062972028466729;0.1644688904481278;0.0668028894870413;0.0846052233578302;0.34501055;0.0042339308705556;0.2115347261272427;0.0679048995858467
CGCL-DP-CC-R-5C;0.0494144162055256;0.09669067;0.0208916368369671;0.0608847681243595;0.055612935478242;0.0581809707651575;0.13678744;0.0151119851723991;0.0858882253302221;0.0609174622937551;0.0764250965476934;0.26784477;0.0063031452057895;0.1645794987766418;0.0668340529592194;0.0846205269077091;0.3454067;0.0042383168975226;0.2116364382796052;0.0679378253792378
AdaGCL-DP-CC-R-5C;0.049409088596018;0.09667652;0.0208859774473323;0.0608661160771203;0.0555964289251404;0.0581899514906565;0.1368299;0.0151176445620339;0.0859008736443536;0.0609072439513588;0.0764206616163613;0.26777402;0.0063028622363078;0.1645147805880505;0.0668212241521144;0.0846062710893861;0.34519446;0.0042391658059678;0.2115013568314038;0.0679234669366527
CGCL-DP-CC-R-4C;0.049405969844578;0.09666237;0.0208831477525148;0.0608677687901668;0.0556093983597202;0.0582085271771471;0.13692893;0.0151275484938949;0.0859647223340895;0.0609375340377476;0.0764505447789634;0.26795796;0.0063065408395704;0.1646401836958294;0.0668514143896307;0.0846600960402438;0.34567553;0.0042418540160443;0.2117787462020047;0.0679570730814271
