Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
LightGCN-DP-R;0.2217329592567921;0.061425485;0.014047516198704;0.261147586452068;0.0403974082073434;0.2542070139933485;0.07835853;0.0094859611231101;0.3532263897852342;0.0426481195790051;0.3234755032018733;0.12224622;0.0037114470842332;0.6587265778396441;0.0446830107411342;0.3499995536386608;0.13684665;0.0023438444924405;0.8122524426607745;0.0448970852469811
LightGCN-DP;0.1795664671459098;0.049676027;0.0119740820734341;0.229556774697581;0.0262606191504679;0.2194910492172555;0.07084233;0.0091922246220302;0.3417358135972443;0.0290853988823751;0.2949046219396165;0.120086394;0.0037753779697624;0.6637059153871615;0.0314915784817672;0.3192344898581395;0.13520518;0.0023274298056155;0.8053533351249195;0.0317106656992363
KGCL-DP-R;0.1350656504232031;0.040950324;0.0085701943844492;0.1545523161716905;0.0272598992080633;0.1512922239255906;0.05226782;0.0055464362850971;0.2004167053452092;0.0287441118996194;0.1959124182148953;0.08863931;0.0021874730021598;0.3979162236909969;0.0304095557866355;0.2253700160897256;0.113174945;0.0015956803455723;0.572778285703896;0.0307589564261696
LightGCN-DP-DC-R-4C;0.1018773628271952;0.032397408;0.0067732181425485;0.1126458301628251;0.0228754499640028;0.113187725076321;0.040086392;0.0042073434125269;0.1442311721843576;0.0239298913229798;0.1427588515786114;0.06963283;0.0016034557235421;0.2794546902235522;0.0251313194090517;0.1646438886118131;0.09079914;0.0011792656587472;0.4088347304738023;0.0254296059152305
KGCL-DP-DC-R-5C;0.1012958761398628;0.03161987;0.0066004319654427;0.1102678667376268;0.0229920806335493;0.1098333283663025;0.03723542;0.0038963282937364;0.1340588700346139;0.0237715725599095;0.1408893314226815;0.067732185;0.0015585313174946;0.2732488491339652;0.0250921612611513;0.1646345451892426;0.09079914;0.0011887688984881;0.4145883543217865;0.0254096931710375
LightGCN-DP-DC-R-2C;0.1012833580792638;0.032051835;0.0066868250539956;0.1107855234665799;0.0230467962562994;0.112396149341668;0.039568037;0.0041382289416846;0.1414846108005858;0.0240875587095889;0.1426018997438407;0.06963283;0.0016069114470842;0.2793668666732486;0.02531528950233;0.1646899477516596;0.09114471;0.0011801295896328;0.4099043002325427;0.0256184579826494
KGCL-DP-DC-R-2C;0.1008384361097498;0.031706262;0.0066177105831533;0.1110283667016347;0.0224866810655147;0.1094877188285791;0.0374946;0.0039308855291576;0.1351102197485543;0.023280674688882;0.1406420564773195;0.06842332;0.0015688984881209;0.2761140504915714;0.0245967784472994;0.1641567111052676;0.09079914;0.0011913606911447;0.4159203535424733;0.0249085469295143
LightGCN-DP-DC-R-5C;0.1005479283422715;0.032051835;0.006669546436285;0.1109311849967545;0.0230352771778257;0.112113121875581;0.040086392;0.0041900647948164;0.1431784665977167;0.0241373718673934;0.1415260955783387;0.069200866;0.0015930885529157;0.2779423622928451;0.0253141871364396;0.1640204194678891;0.091058314;0.0011827213822894;0.41087817694242;0.0256253430609384
LightGCN-DP-DC-R-3C;0.1005167848518533;0.03213823;0.0067041036717062;0.1109778630146715;0.0229028077753779;0.1113577030870508;0.039308857;0.0041382289416846;0.1411670974316019;0.0238955055024169;0.1413559016404829;0.069287255;0.0015965442764578;0.2780070169460503;0.0251302172297181;0.1634178689208398;0.090453565;0.0011758099352051;0.408212355341876;0.025430985724649
KGCL-DP-DC-R-3C;0.0998952497657034;0.031101512;0.0064967602591792;0.1092076384103182;0.0223441324694024;0.1092325038759677;0.037321813;0.003913606911447;0.1352802179944466;0.0232032637389008;0.1402208405059283;0.06807775;0.0015671706263498;0.2751010479182726;0.0245313038840264;0.1639851408870377;0.09079914;0.0011939524838012;0.4166184571445414;0.0248468583870905
KGCL-DP-DC-R-4C;0.0982565894675642;0.030583153;0.0063930885529157;0.1075030929557728;0.0221166306695464;0.1083771332391076;0.037667386;0.0039481641468682;0.1357796519126376;0.023085604580205;0.1386171597040809;0.06773218;0.0015533477321814;0.2727256485079122;0.0243545216031345;0.1629759632851568;0.09079914;0.0011939524838012;0.4177977061396053;0.0246761797833946
SpectralMixARS1-DP-DC-R-3C;0.097689489633568;0.03160622;0.006580310880829;0.1089029835965957;0.022461139896373;0.1062982152416524;0.037392054;0.0039291882556131;0.133312112402365;0.0232470803520026;0.1346179098085741;0.06485319;0.0015008635578583;0.2604249179037811;0.0244219548343586;0.1574310871413948;0.08791019;0.0011407599309153;0.3957591013209834;0.0247436523620729
SpectralMixARS0-DP-DC-R-3C;0.0975443336752621;0.031692572;0.0065975820379965;0.1091862697155759;0.0224712147380541;0.1060490194634117;0.037392054;0.0039291882556131;0.133312112402365;0.0232448186528497;0.1342811799878271;0.06468049;0.0014991364421416;0.259857022031834;0.0244174717928807;0.1574554141128547;0.088169254;0.0011450777202072;0.3973437847626438;0.024745648385092
SpectralMixARS0-DP-DC-R-4C;0.097337455864429;0.031519864;0.0065630397236614;0.1087162422333838;0.0223934945308002;0.105759131912127;0.037219346;0.0039119170984455;0.1325571892209713;0.0231706966033391;0.1341153826151053;0.06485319;0.0015025906735751;0.2600520917421034;0.0243448585942691;0.1566268269843342;0.08747841;0.0011364421416234;0.3936998091907896;0.0246590078383694
SpectralMixARS1-DP-DC-R-4C;0.0972612066885306;0.03160622;0.006580310880829;0.1089029835965957;0.0223819804260218;0.1058766889761307;0.037392054;0.0039291882556131;0.133312112402365;0.0231694629492557;0.1343992151619229;0.06511226;0.0015077720207253;0.2615876731227374;0.0243480953427853;0.1571784200347738;0.0880829;0.0011433506044904;0.3967726359079244;0.0246671413286898
SpectralMixARS0-DP-DC-R-2C;0.0972226598647116;0.031519864;0.0065630397236614;0.1083348017784139;0.0223963730569948;0.1056344091455171;0.037219346;0.0039119170984455;0.1321710141790547;0.023170833676015;0.1338424326405496;0.06476684;0.0014991364421416;0.2587275904190562;0.0243418506448947;0.1564560782907664;0.087478414;0.0011355785837651;0.3929290672088803;0.0246575856777601
