Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
AdaGCL-DP-R;0.02271561494741;0.08835123;0.0187286308499749;0.024765887015985;0.0435825402701859;0.0284827617690594;0.15331344;0.0172368736252967;0.0391433711716607;0.0520774590315521;0.0510432146598461;0.39639366;0.0114915394499009;0.119586771466292;0.0629115388776723;0.0663478893207176;0.5392757;0.0093270759380648;0.1898019135293377;0.0649548912997898
AdaGCL-DP;0.0222631843059198;0.08691391;0.018393257692894;0.0243212538292898;0.0429568007433379;0.0278781194984139;0.15048237;0.0169232779459483;0.0382525319461814;0.051298516677227;0.0499927495165684;0.39097106;0.0112972843485267;0.117019099709493;0.0620140104016448;0.0649573244770734;0.5320891;0.0091665759271761;0.1854735491972401;0.0640296678976647
KGCL-DP-R;0.0214396684753527;0.08514994;0.0179707746248829;0.0236697300985815;0.0418196534477376;0.0271434069810174;0.14915395;0.0166401707354254;0.0378311285749545;0.0501577657275734;0.0524119141912714;0.41614583;0.0121823210435767;0.127784205127264;0.0621073208658498;0.0685712736578894;0.56242514;0.0098569219712972;0.2020584952076687;0.0641885062110638
KGCL-DP;0.0213013426339157;0.08475795;0.0178880202094993;0.0235198251956386;0.0415405387747991;0.0269005233817926;0.14791262;0.0165073281212569;0.0373915164160819;0.0497720019067391;0.0520126863767369;0.41370675;0.0121039221237396;0.1267801699609243;0.0616716820994275;0.068045172527677;0.5591803;0.0097944206102049;0.2004056262694948;0.0637436531611714
AlternateLeastSquares;0.0120480303581096;0.051831525;0.010797508602291;0.0144710383227707;0.0214991942157759;0.0170960752611496;0.10466484;0.0114094690535302;0.0262808825862814;0.0283659380386154;0.0364766325372429;0.3315693;0.0091249618885839;0.0932527974743772;0.0384829323399948;0.0486363172774839;0.46060368;0.0074920510475194;0.147876294038084;0.0403297654130031
AdaGCL-E-CC-2C;0.0058726097332335;0.022822797;0.0048607330299004;0.0066165047838901;0.0111722090347495;0.0071299823003179;0.036499053;0.0040549663537969;0.0098156254385837;0.0129820557040226;0.0127837389214168;0.10975849;0.0027666107711404;0.0303582775489521;0.0160122361579278;0.016678350863098;0.16888434;0.0022807552429277;0.0484633359435833;0.0168421027310012
AdaGCL-E-CC-5C;0.0058683470581124;0.022474358;0.0047736231189703;0.0065043483310829;0.0112411710475692;0.0071118677683324;0.035845727;0.004013589146105;0.0097108838599103;0.0129856852836447;0.0128960026115616;0.11184913;0.0027979703390753;0.0308427778224905;0.0161075791135672;0.0167615550890646;0.17197675;0.0022981772251137;0.048745562197336;0.016947425890383
AdaGCL-E-CC-4C;0.0058476433485671;0.02280102;0.0048476665432609;0.0065852897193547;0.0112342748462873;0.0071074679274023;0.03617239;0.0040484331104771;0.0097884548508486;0.0130187403837744;0.0129937038195124;0.111936234;0.0028310721052287;0.0311248500845789;0.0161602287480564;0.0169474644357573;0.17121454;0.002335852261591;0.0494563487346563;0.0169870646819342
AdaGCL-E-CC-3C;0.0057712940959565;0.02236547;0.0047387791545983;0.0064422811678789;0.011101795190081;0.0070807963184333;0.03652083;0.0040397221193841;0.0097983327076493;0.0129647719915365;0.0126737921297885;0.1103247;0.0027504954376184;0.0301290226162292;0.0159941758170336;0.016545228148933;0.16990788;0.0022770530717132;0.0479950171397992;0.0168370958128469
AdaGCL-DP-DC-2C;0.0057624989999402;0.023236569;0.0048650885254469;0.0061773160851953;0.0120727077389896;0.0072453667830714;0.043054074;0.0045885145582438;0.0098554134112085;0.0146834643611576;0.0130617546426704;0.12959777;0.0031268102528365;0.0305642942422902;0.0184100369486616;0.0173280268629606;0.19523509;0.0026159106252313;0.0497924685422922;0.0193384176613248
